X,Y,Z,start,end
126349.86005659957,117031.17756848093,18470.328027949497,2020-12-23T20:58:30.000000000,2020-12-23T21:58:30.000000000
126481.97772983929,119008.69444457465,17025.43776227964,2020-12-23T21:58:30.000000000,2020-12-23T22:58:30.000000000
126493.9800624277,120870.33739431412,15563.948591547161,2020-12-23T22:58:30.000000000,2020-12-23T23:58:30.000000000
126376.22027331618,122722.02942654706,13993.68023497492,2020-12-23T23:58:30.000000000,2020-12-24T00:58:30.000000000
126272.43826235339,123620.89814500899,13189.588119020165,2020-12-24T00:58:30.000000000,2020-12-24T01:11:14.734023000
70005.33899677092,116214.46520234236,-30087.489976397774,2020-12-25T06:31:23.010280000,2020-12-25T07:31:23.010280000
66304.40758470872,113541.89898369554,-31152.34728354317,2020-12-25T07:31:23.010280000,2020-12-25T08:31:23.010280000
62460.45664772499,110636.91845769175,-32151.785738333387,2020-12-25T08:31:23.010280000,2020-12-25T09:31:23.010280000
58468.589831181875,107483.50497905078,-33077.1998235267,2020-12-25T09:31:23.010280000,2020-12-25T10:31:23.010280000
54323.45044888518,104063.06435350784,-33918.41465367264,2020-12-25T10:31:23.010280000,2020-12-25T11:31:23.010280000
51151.91405864774,101350.83466139357,-34484.23580782402,2020-12-25T11:31:23.010280000,2020-12-25T12:00:10.000000000
83246.94397068906,32986.45037495802,39707.7221238035,2020-12-26T11:02:40.000000000,2020-12-26T11:07:10.000000000
133817.2422143575,116422.6605690837,12296.227156525907,2020-12-27T13:11:22.861249000,2020-12-27T14:11:22.861249000
133560.96192592158,117932.49552830686,10793.572113259675,2020-12-27T14:11:22.861249000,2020-12-27T15:11:22.861249000
133185.81919750903,119335.52604346516,9281.100259128143,2020-12-27T15:11:22.861249000,2020-12-27T16:11:22.861249000
132693.1434220516,120631.67810924553,7760.268249816205,2020-12-27T16:11:22.861249000,2020-12-27T17:11:22.861249000
130981.40364150984,122242.65627424706,4944.658468642512,2020-12-27T17:11:22.861249000,2020-12-27T18:11:22.861249000
131359.58743375976,122902.34656648782,4699.183680622108,2020-12-27T18:11:22.861249000,2020-12-27T19:11:22.861249000
130520.45867880015,123876.00243087116,3161.69883721043,2020-12-27T19:11:22.861249000,2020-12-27T20:11:22.861249000
129567.32768787925,124741.05426499597,1621.4112361011066,2020-12-27T20:11:22.861249000,2020-12-27T21:11:22.861249000
128500.66118096087,125496.69826639627,79.68553544006754,2020-12-27T21:11:22.861249000,2020-12-27T22:11:22.861249000
127320.77754661217,126141.97116993532,-1462.1074852547242,2020-12-27T22:11:22.861249000,2020-12-27T23:11:22.861249000
126027.83038709089,126675.74247308732,-3002.58377528842,2020-12-27T23:11:22.861249000,2020-12-28T00:11:22.861249000
